,Room_name,stamac,Serial Number,Last Inventory Update,iOS Version,x_on_floorplan_[m],y_on_floorplan_[m],floor_num
0,Mariner,e8b2ac04f168,DLXS832XHGJ1,3/21/18 13:36,11.2.2,87.0,46.0,0
1,Opportunity 1,e8b2ac029e9c,DLXS8352HGJ1,3/20/18 21:27,11.2.2,,,0
2,Opportunity 2,0452f36c759d,DLXS741PHGJ1,3/21/18 1:56,11.2.2,,,0
3,Voyager,e8b2ac04ee6c,DLXS82RQHGJ1,3/21/18 13:36,11.2.2,64.0,46.0,0
4,Pioneer,0452f36a626d,DLXS742GHGJ1,3/21/18 13:36,11.2.2,69.0,46.0,0
5,Sputnik,0452f36c7624,DLXS74AJHGJ1,3/21/18 13:36,11.2.2,92.0,46.0,0
6,Nikola Tesla,0452f3679696,DLXS64D5HGJ1,3/20/18 17:56,11.2.2,,,1
7,Alexander Graham Bell,0452f35f1f0c,DLXS5J4QHGJ1,3/12/18 21:26,11.2.2,,,1
8,Katharine Blodgett,0452f367b508,DLXS64DAHGJ1,3/21/18 13:36,11.2.2,,,1
9,Alessandro Volta,0452f3641781,DLXS5JDMHGJ1,3/21/18 2:16,11.2.2,,,1
10,John Bardeen,0452f367b607,DLXS64HKHGJ1,3/20/18 21:34,11.2.2,,,1
11,John Logie Baird,0452f3653d3a,DLXS61UJHGJ1,3/21/18 5:26,11.2.2,,,1
12,Benjamin Franklin,0452f3673168,DLXS5J91HGJ1,3/20/18 21:37,11.2.2,,,1
13,Alan Turing,0452f3623833,DLXS61WBHGJ1,3/21/18 2:01,11.2.2,,,1
14,William Henry Fox Talbot,0452f364faba,DLXS608AHGJ1,3/21/18 2:01,11.2.2,,,1
15,Galileo,0452f362e8a9,DLXS5H6AHGJ1,3/20/18 21:39,11.2.2,,,1
16,Sir Isaac Newton,0452f363bc2d,DLXS5HMFHGJ1,3/21/18 0:36,11.2.5,,,1
17,Michael Faraday,0452f367b598,DLXS64ERHGJ1,3/21/18 4:51,11.2.2,,,1
18,Albert Einstein,0452f3652aca,DLXS64EDHGJ1,3/21/18 13:36,11.2.2,,,1
19,Mahlon Loomis,0452f364faae,DLXS5HRCHGJ1,3/21/18 2:06,11.2.2,,,1
20,Thomas Edison,0452f35fa58c,DLXS608DHGJ1,3/21/18 0:41,11.2.2,,,1
21,Cai Lun,0452f3671a80,DLXS42E4HGJ1,3/20/18 21:39,11.2.2,,,1
22,The Wright Brothers,0452f3650532,DLXS61GJHGJ1,3/21/18 0:36,11.2.6,,,1
23,Archimedes,0452f36a5289,DLXS31QUHGJ1,3/20/18 22:21,11.2.2,,,1
24,Samuel Morse,0452f35f1c11,DLXS5KARHGJ1,3/20/18 21:30,11.2.2,,,1
25,Charles Babbage,0452f361fd5a,DLXS5JL2HGJ1,3/21/18 7:36,11.2.2,,,1
26,William Shockley,0452f35fb689,DLXS64L0HGJ1,3/20/18 21:35,11.2.2,,,1
27,Leonardo Da Vinci,0452f3652d5d,DLXS5H1DHGJ1,3/20/18 21:38,11.2.2,,,1
28,Tim Berners Lee,0452f35fa08d,DLXS61X5HGJ1,3/20/18 21:06,11.2.2,,,1
29,Robert Noyce,0452f367d537,DLXS61WKHGJ1,3/21/18 13:36,11.2.2,,,1
30,Guglielmo Marconi,0452f3655467,DLXS64N7HGJ1,3/20/18 21:35,11.2.2,,,1
31,Sphinx - Egypt,0452f36510d4,DLXS652RHGJ1,3/20/18 21:24,11.2.5,,,2
32,Pompeii,0452f365380e,DLXS64TWHGJ1,3/20/18 21:36,11.2.2,,,2
33,Eiffel Tower - France,0452f36231f6,DLXS64TRHGJ1,3/20/18 23:56,11.2.2,,,2
34,Machu Picchu – Peru,0452f367c53b,DLXS64UXHGJ1,3/20/18 23:31,11.2.2,,,2
35,Leaning Tower of Pisa - Italy,0452f35fa89d,DLXS64VCHGJ1,3/20/18 21:36,11.2.2,,,2
36,St. Peter’s  Cathedral – Vatican City,0452f367c520,DLXS65AVHGJ1,3/21/18 12:31,11.2.2,,,2
37,Angkor Wat - Cambodia,0452f367b969,DLXS65GMHGJ1,3/20/18 22:22,11.2.2,,,2
38,Big Ben - England,0452f35fbceb,DLXS64PGHGJ1,3/21/18 5:41,11.2.2,,,2
39,St. Basil’s Cathedral - Russia,0452f367cd87,DLXS657HHGJ1,3/20/18 21:41,11.2.2,,,2
40,Colosseum - Italy,0452f367b604,DLXS64QGHGJ1,3/20/18 21:46,11.2.2,,,2
41,Mecca 1,0452f36bdb2a,DLXS7494HGJ1,3/20/18 21:36,11.2.2,,,2
42,Taj Mahal – India,0452f36557d0,DLXS65B4HGJ1,3/20/18 21:41,11.2.2,,,2
43,Golden Gate Bridge - USA,0452f3652e36,DLXS64U6HGJ1,3/20/18 23:31,11.2.2,,,2
44,Mecca – Saudi Arabia,0452f365322a,DLXS64WQHGJ1,3/20/18 21:41,11.2.2,,,2
45,Kilimanjaro – Tanzania,0452f36537a4,DLXS65HDHGJ1,3/20/18 21:36,11.2.2,,,2
46,Petra - Jordan,0452f36247e6,DLXS64XNHGJ1,3/20/18 22:06,11.2.5,,,2
47,Pyramids of Giza - Egypt,0452f36240c9,DLXS652VHGJ1,3/20/18 18:11,11.2.5,,,2
48,Acropolis - Greece,0452f3652ae4,DLXS64PAHGJ1,3/20/18 22:31,11.2.2,,,2
49,Louvre - France,0452f3657597,DLXS65K9HGJ1,3/20/18 21:36,11.2.2,,,2
50,Sydney Opera House - Australia,0452f3625f6d,DLXS65D4HGJ1,3/20/18 19:21,11.2.2,,,2
51,Arc De Triomphe,0452f35fbe29,DLXS65TYHGJ1,2/26/18 5:01,11.2.5,,,2
52,Mendocino,0452f36d4491,DLXS73VBHGJ1,3/21/18 3:46,11.2.1,86.4,20.5,3
53,San Diego,0452f36b08f1,DLXS72HDHGJ1,3/20/18 20:16,11.2.1,63.6,28.6,3
54,Tiburon,0452f36b0df9,DLXS73Z9HGJ1,3/20/18 22:16,11.2.2,67.2,44.8,3
55,Sequoia National Park,0452f36af6e6,DLXS72YCHGJ1,3/21/18 13:36,11.2.1,89.9,7.6,3
56,Bodega Bay,0452f36b0de7,DLXS72PBHGJ1,3/20/18 22:16,11.2.2,67.0,20.6,3
57,Ventura,e8b2ac05843d,DLXS83WGHGJ1,3/21/18 13:36,11.2.1,63.6,20.6,3
58,Lake Tahoe,0452f3641b87,DLXS6HJ9HGJ1,3/20/18 22:46,11.2.1,17.8,31.0,3
59,Malibu,0452f3696eed,DLXS6J8GHGJ1,3/20/18 20:26,11.2.1,24.0,40.8,3
60,Death Valley,0452f36bdd3b,DLXS72UUHGJ1,3/21/18 13:36,11.2.1,78.0,20.6,3
61,Pismo Beach,0452f3640b3e,DLXS6HUFHGJ1,3/21/18 13:36,11.2.1,21.1,30.0,3
62,Santa Beach,0452f3670522,DLXS6HV7HGJ1,3/20/18 20:31,11.2.1,20.3,40.8,3
63,Catalina Island,0452f3619976,DLXS6HYLHGJ1,3/21/18 7:41,11.2.1,24.4,31.0,3
64,Stinson Beach,0452f36af700,DLXS72REHGJ1,3/21/18 13:36,11.2.1,,,3
65,Santa Cruz,0452f36b0ded,DLXS73ZGHGJ1,3/21/18 1:41,11.2.1,63.6,44.8,3
66,Big Sur,0452f3638d1a,DLXS6G8QHGJ1,3/20/18 20:11,11.2.1,3.0,49.2,3
67,Lake Shasta,0452f36388d5,DLXS6GEDHGJ1,3/20/18 20:16,11.2.1,10.0,40.8,3
68,Joshua Tree,0452f36c3d9d,DLXS72WZHGJ1,3/21/18 0:36,11.2.1,78.1,28.7,3
69,Big Bear,0452f36d447c,DLXS72R4HGJ1,3/21/18 13:36,11.2.1,67.0,28.8,3
70,Sonoma,0452f36b2e85,DLXS73ETHGJ1,3/20/18 22:16,11.2.2,81.6,28.7,3
71,Napa,0452f36c37d6,DLXS7338HGJ1,3/21/18 1:31,11.2.1,81.6,20.6,3
72,Saucelito,0452f36b0e74,DLXS73WWHGJ1,3/20/18 22:21,11.2.2,85.8,40.8,3
73,Carmel,0452f360ef9f,DLXS6G8LHGJ1,3/21/18 13:36,11.2.1,36.5,48.0,3
74,Andicuri,0452f35fbe38,DLXS669RHGJ1,3/21/18 13:36,11.2.1,,,4
75,Druif Beach,0452f3691540,DLXS6FPGHGJ1,3/21/18 13:36,11.2.1,,,4
76,Baby Beach,0452f366978f,DLXS6ET3HGJ1,3/21/18 13:36,11.2.1,,,4
77,De Palm Island,0452f3624f2d,DLXS66GPHGJ1,3/21/18 13:36,11.2.1,,,4
78,Hadicurari Beach,0452f366b5b2,DLXS6FSGHGJ1,3/21/18 13:36,11.2.1,,,4
79,Boca Catalina,0452f367d1aa,DLXS65ZRHGJ1,3/21/18 13:36,11.2.1,,,4
80,Manchebo Beach,0452f35fbf85,DLXS662EHGJ1,3/21/18 13:36,11.2.1,,,4
81,Surfside Beach,0452f3624f2b,DLXS66DFHGJ1,3/21/18 13:36,11.2.1,,,4
82,Iguana,0452f3668833,DLXS6FZQHGJ1,3/20/18 23:16,11.2.1,,,4
83,Daimari Beach,0452f360ef17,DLXS6G5AHGJ1,3/21/18 13:36,11.2.2,,,4
84,Dos Playa,0452f3638b78,DLXS6EWWHGJ1,3/21/18 13:36,11.2.1,,,4
85,Bachelors Beach,0452f363a3c7,DLXS6G0GHGJ1,3/21/18 13:36,11.2.1,,,4
86,Punta Brabo,0452f360f287,DLXS6FZ9HGJ1,3/21/18 13:36,11.2.1,,,4
87,Santo Largo,0452f365575b,DLXS66HFHGJ1,3/21/18 13:36,11.2.1,,,4
88,Grapefield Beach,0452f36913a9,DLXS6ERKHGJ1,3/21/18 13:36,11.2.1,,,4
89,Malmok Beach,0452f366b239,DLXS6F37HGJ1,3/21/18 13:36,11.2.1,,,4
90,Renaissance Island,0452f3625c95,DLXS66GLHGJ1,3/21/18 13:36,11.2.1,,,4
91,Conchi Natural Pool,0452f3638923,DLXS6FYCHGJ1,3/21/18 13:36,11.2.2,,,4
92,Rodger’s Beach,0452f36390e7,DLXS6F2QHGJ1,3/21/18 13:36,11.2.1,,,4
93,Arashi Beach,0452f35fbb28,DLXS65UXHGJ1,3/21/18 13:36,11.2.1,,,4
94,Boca Grandi,0452f36018bf,DLXS66WTHGJ1,3/21/18 13:36,11.2.1,,,4
95,Boca Prins,0452f3692a06,DLXS6EUNHGJ1,3/21/18 13:36,11.2.1,,,4
96,Eagle Beach,0452f367c6f0,DLXS660GHGJ1,3/21/18 13:36,11.2.1,,,4
97,Blackstone Beach,0452f360137c,DLXS67FFHGJ1,3/21/18 13:36,11.2.1,,,4
